id,long,lat,name,code,population,region,medical-programs,medical-students,genetics-courses,clinical-genetics-courses,medical-geneticists,medical-professionals
1,-102.3898325,22.01057905,Aguascalientes,AGU,1312544,Central West,2,1107,1107,752,1,2279
2,-114.9190374,29.71481644,Baja California,BCN,3315766,North,7,5820,5820,5820,3,6742
3,-111.541258,25.03184861,Baja California Sur,BCS,712029,North,0,0,0,0,0,1603
4,-90.29266918,18.68718252,Campeche,CAM,899931,South East,1,694,694,0,0,1979
7,-92.64925944,16.42123035,Chiapas,CHP,5217908,South East,4,1927,814,443,4,6577
8,-106.5138655,28.26460704,Chihuahua,CHH,3556574,North,3,3487,3487,3487,5,7345
9,-99.12988265,19.26122374,Mexico City,CMX,8918653,South,14,18676,17658,14874,142,28772
5,-102.2327265,27.79908,Coahuila,COA,2954915,Central East,2,972,972,972,3,5216
6,-103.9216161,19.1403729,Colima,COL,711235,Central West,1,609,0,0,0,1783
10,-104.9428053,24.69950896,Durango,DUR,1754754,North,4,2229,2229,0,2,3126
11,-101.1722609,20.83228392,Guanajuato,GUA,5853677,Central West,3,1790,870,0,10,9954
12,-99.91541274,17.56931279,Guerrero,GRO,3533251,South,2,1632,1632,1632,2,5483
13,-99.01205314,20.46973157,Hidalgo,HID,2858359,South,1,2171,2171,0,6,3920
14,-103.7252337,20.37909348,Jalisco,JAL,7844830,Central West,7,12219,12219,7036,26,13678
15,-99.87613623,19.32164913,Mexico State,MEX,16187608,South,4,7417,6768,3339,22,20121
16,-101.8006849,19.20079835,Michoacan,MIC,4584471,Central West,2,2880,404,0,5,7504
17,-99.12988265,18.68718252,Morelos,MOR,1903811,South,2,1669,1669,0,1,3001
18,-104.7856993,21.6480267,Nayarit,NAY,1181050,Central West,1,1109,1109,0,1,1960
19,-99.91541274,25.54546444,Nuevo Leon,NLE,5119504,Central East,4,10713,10713,881,18,8752
20,-96.49835686,16.84420809,Oaxaca,OAX,3967889,South,2,2922,2922,2922,5,5810
21,-97.99086403,18.71739522,Puebla,PUE,6168883,South,4,9180,9180,8937,12,8404
22,-99.91541274,20.80207122,Queretaro,QUE,2038372,Central West,3,1228,1228,0,6,2819
23,-88.40739697,19.26122374,Quintana Roo,ROO,1501562,South East,2,963,221,0,2,2605
24,-100.3474543,22.40334409,San Luis Potosi,SLP,2717820,Central East,1,898,898,0,2,3380
25,-107.181566,24.48802009,Sinaloa,SIN,2966321,North,1,3233,3233,0,4,4959
26,-110.4415159,29.32205139,Sonora,SON,2850330,North,1,529,529,0,3,4791
27,-92.68853594,18.02250322,Tabasco,TAB,2395272,South East,4,4522,4522,674,1,4764
28,-98.73711761,23.67227731,Tamaulipas,TAM,3441698,Central East,9,5943,5943,169,5,5845
29,-98.22652305,19.41228722,Tlaxcala,TLA,1272847,South,1,852,852,852,1,1961
30,-95.9092093,18.44548096,Veracruz,VER,8112505,South,7,4898,4898,0,6,11506
31,-88.99654453,20.68122044,Yucatan,YUC,2097175,South East,3,2230,1195,466,5,3945
32,-103.0968096,23.24929957,Zacatecas,ZAC,1579209,North,1,1810,1810,0,2,2629
